otu	barcode04MF	barcode03MF	barcode05MF
MN450332.1	38	1	0
LR583730.1	3	0	0
AY364838.1	5	0	4
MT730659.1	1	0	2
KY703619.1	6	0	1
MH856435.1	14899	29949	7689
LT990647.1	0	0	1
KT215224.1	1	0	0
U34556.1	2	0	17
MG865578.1	0	1	1
HQ643408.2	0	0	2
JN865210.1	4	1	15
MW710688.1	1	5	0
MH856176.1	50698	40188	25816
AY762619.1	13	8	8
AF486626.1	3	1	2
MW138779.1	5523	27592	6680
U34580.1	3	0	4
KY970066.1	7	9	6
JN906978.1	21	9	92
EF010926.1	0	0	1
HG977201.1	0	0	1
JN383493.1	1	0	1
MW599273.1	1	0	0
KP330867.1	0	1	1
MH860044.1	80619	111905	31783
AF222850.1	2	0	2
HQ643373.2	2	0	2
AY211016.1	1	2	0
AF444441.1	0	0	0
OM337559.1	1	1	6
LT964730.1	0	0	638
JX910369.1	6	0	0
MW599272.1	0	2	0
FJ430779.1	14	6	1
FJ200221.1	4	0	0
KR183856.1	0	0	0
OM959577.1	7	0	0
HQ643757.2	1	0	0
MK256970.1	38	4	0
KY783351.1	1	0	2
KJ570693.1	1	0	1
HQ643773.2	4	6	1
EU019250.2	1	0	2
MT730745.1	3	0	1
MW633475.1	55	81	89
OL652617.1	7	2	1
MK314564.1	0	1	0
GU237837.1	0	0	0
KF499360.1	2	0	0
KM235691.1	0	0	112
GQ244428.2	0	4	1
KJ707164.1	5	0	24
HQ643771.1	0	1	1
KY995559.1	0	1	6
EF473864.1	0	0	1
JQ754042.1	0	0	0
ON231677.1	1	0	0
MF795772.1	1	0	3
HQ643518.2	1	6	6
MT731015.1	2	0	0
MG865508.1	4	12	1
MG865523.1	8	46	7
AF250820.1	27	2	17
HQ643739.2	11	0	1
KU850565.1	27740	62841	32030
MG865520.1	2	8	2
MT730940.1	2	0	1
AF178401.1	160	1	0
EU040211.1	5	0	5
MW709918.1	4	0	0
HQ643956.2	4	10	0
MH753702.1	0	0	0
MG783380.1	1	0	0
MN557838.1	0	1	1
MW915648.1	5	1	2
AY198298.3	0	4	6
KR873250.1	55	52	358
AY143557.1	0	0	1307
MH862560.1	1	0	0
MF062203.1	1	0	0
MT588812.1	928	0	0
AB208109.1	15	0	3
HQ643681.2	2	7	6
AF444399.1	22	0	0
FM986798.1	0	0	2
JF735308.1	1	0	0
KP203864.1	24	0	0
MH855943.1	56143	73285	32556
HQ643137.1	4	12	3
EU167604.1	1	0	3
FN428895.1	0	0	0
MG865471.1	1	2	1
MG865559.1	11	30	5
AY198300.3	12	270	26
MN973540.1	0	0	1
DQ780374.1	1	0	0
MH864418.1	0	1	91
MH858205.1	0	1	0
AJ491250.1	7	0	0
AF444666.1	266	0	0
KX306775.1	1	0	0
AB035046.1	477	0	0
AY743636.1	0	38	613
AY552328.1	3	0	5
MG865589.1	0	0	0
JX499031.1	19970	18466	15784
MG865593.1	21	44	9
AY198246.3	3	17	4
AB035045.1	1	0	0
MH730799.1	0	9	4
FJ790287.1	0	0	0
EU218892.1	0	1	0
MN784447.1	0	3	1
MT215495.1	1	0	0
MG865473.1	1	0	0
MG865576.1	10	41	12
MH461124.1	0	0	0
OM778769.1	1	4	23
AF071332.1	0	0	1
HQ643429.1	0	1	11
MH730800.1	1	6	1
MW016403.1	3	0	0
HQ643670.1	2	22	258
LC485673.1	1	0	0
MG865574.1	37	163	95
MH866022.1	63743	6379	44258
MG865499.1	0	3	2
HQ643693.1	0	0	7
DQ885385.1	12302	53780	29303
HQ643444.1	9	33	9
HQ643692.1	0	7	80
MT026405.1	0	5	0
HG931724.1	0	0	1
MT074263.1	1	0	1
MW015778.1	0	3	80
MF795774.1	1	0	1
HE792942.1	1	0	1
AF347031.1	32934	84836	19511
MG865484.1	8	19	3
HQ643752.1	0	0	9
EU049216.1	5095	0	15994
KY986679.1	2	0	2
MK394004.1	2534	70069	16991
HQ643443.2	3	21	9
MG865580.1	1	1	0
AF314985.1	0	0	0
HQ643479.1	0	1	8
MG865599.1	0	5	4
AY198293.3	0	1	0
HQ643570.1	1	0	0
HQ643945.1	0	3	6
HQ643721.2	3	13	10
KC287235.1	0	8	0
MG865566.1	0	1	0
MG865504.1	0	0	0
AY198240.3	0	2	0
MG865518.1	0	2	0
MG865466.1	1	0	0
MG865575.1	1	4	2
MH730806.1	0	0	0
MG783381.1	0	4	2
MG865569.1	0	0	0
AY211019.1	0	0	0
AY198301.3	0	1	0
MK876378.1	0	0	0
HQ643546.1	0	5	1
KY611899.1	0	1	0
MG865511.1	0	3	4
MG865492.1	0	2	0
HQ643767.1	1	1	2
MN265834.1	0	7	0
MG865532.1	0	2	0
HQ643427.1	0	1	2
JX089580.1	0	1	0
KJ372262.1	0	1	0
HQ643434.1	0	1	0
MG865586.1	0	2	0
MG865548.1	0	3	1
MG783385.1	0	1	0
MG865527.1	0	1	0
HQ643707.1	0	0	1
MT554398.1	0	0	9
MG865476.1	1	0	1
MG865481.1	0	0	1
KC584233.1	0	0	1
KU175888.1	0	0	1
MG865475.1	1	0	2
JQ031190.1	0	0	1
MG518642.1	0	0	1
KF156010.1	0	0	5
MG865477.1	0	0	1
MG865519.1	0	0	1
MG865573.1	0	0	1
MF784742.1	0	0	1
MG865596.1	0	0	1
MH730801.1	0	0	0
KX247599.1	0	0	0
MG865594.1	0	0	0
AJ301940.1	1	0	0
KF928459.1	7	0	0
AY425656.1	1	0	0
LC370337.1	1	0	0
AB915387.1	1	0	0
AF294699.1	1	0	0
MF795769.1	1	0	0
MT730833.1	1	0	0
MF795761.1	1	0	0
MN688821.1	1	0	0
MG865585.1	1	0	0
KM384107.1	1	0	0
MG865509.1	1	0	0
