;mock;;;;;mock1;;;;;mock2;;;;
Species;Theoretical;Minimap2;Bracken;Kraken;Qiime2;Theoretical;Minimap2;Bracken;Kraken;Qiime2;Theoretical;Minimap2;Bracken;Kraken;Qiime2
Botrytis cinerea;21,86;17,41;6,63;5,68;0,00;16,04;19,74;7,81;6,86;0,00;14,31;11,12;3,77;3,51;0,01
Botrytis porri;7,60;4,99;10,82;9,36;40,63;9,82;4,10;9,01;7,62;41,97;7,03;2,85;6,04;5,52;27,80
Alternaria alternata;7,00;13,85;16,33;13,94;13,38;9,65;8,60;10,31;8,68;9,28;7,19;6,61;7,61;7,09;7,68
Peronospora variabilis;10,33;10,78;12,90;11,03;3,24;3,28;0,78;0,91;0,72;0,18;7,17;5,51;6,03;5,43;2,04
Epicoccum nigrum;8,70;11,48;13,07;11,47;7,33;9,77;13,94;16,82;14,44;10,14;7,20;11,25;13,26;12,22;6,46
Stemphylium vesicarium;8,00;9,75;10,20;8,74;10,53;9,62;7,18;7,36;6,37;7,76;7,14;11,05;10,83;9,73;10,74
Peronospora destructor;10,47;8,04;9,70;8,61;0,01;6,45;3,16;3,69;3,21;0,00;14,45;8,85;9,48;8,76;0,01
Sclerotinia sclerotiorum;8,44;4,74;10,87;9,63;0,00;6,36;1,66;3,63;3,23;0,00;7,12;2,43;4,23;3,91;0,00
Alternaria brassicicola;4,88;3,11;3,64;3,19;1,93;9,60;5,69;6,67;5,62;3,19;7,21;5,80;6,60;6,18;2,58
Botrytis squamosa;8,73;6,23;0,01;0,01;0,00;9,83;12,70;6,85;5,98;0,00;7,08;9,10;4,63;4,11;0,00
Fusarium oxysporum;4,00;1,05;1,21;1,10;1,01;6,43;16,14;18,02;15,37;16,33;7,12;15,63;16,85;15,30;15,45
Hyaloperonospora brassicae;0,00;0,00;0,00;0,00;0,00;3,15;1,26;1,66;1,39;1,30;6,97;4,81;5,09;4,83;5,33
NA;0,00;8,55;4,61;17,25;21,94;0,00;5,04;7,24;20,52;9,85;0,00;5,00;5,58;13,41;21,90
;;;;;;;;;;;;;;;
RMSE;;;;;;;;;;;;;;;
Accuracy;;91,47;95,37;82,99;52,89;;95,09;92,80;79,53;69,97;;95,17;94,53;86,97;57,43
Similarity (1 - WUNIFRAC);;0,81;0,28;0,28;0,35;;0,82;0,30;0,30;0,37;;0,82;0,29;0,29;0,35
