Name;taxon;Theoretical;Minimap2;Bracken;Kraken;Qiime2
mock;Botrytis cinerea;21.8586666666667;17.4116264472964;6.62906064970395;5.6839600572139;0.00133725595078898
mock;Botrytis porri;7.60133333333333;4.99459141838384;10.8230650237371;9.36142339620624;40.6325220647232
mock;Botrytis squamosa;8.72933333333333;6.23122020272165;0.0146690137088601;0.00935741307631639;0
mock;Sclerotinia sclerotiorum;8.444;4.74352639521374;10.8737397983677;9.62744128223295;0
mock;Alternaria alternata;6.996;13.8526461986352;16.3306128980637;13.9358616172283;13.3805830435945
mock;Alternaria brassicicola;4.876;3.10626193560449;3.6365818530965;3.1922146323205;1.9296603369885
mock;Peronospora variabilis;10.3253333333333;10.7811060215542;12.8993972368912;11.0283796970872;3.23615940090933
mock;Peronospora destructor;10.468;8.03942255044671;9.70288579506054;8.60614648361784;0.0120353035571008
mock;Hyaloperonospora brassicae;0;0;0;0;0
mock;Epicoccum nigrum;8.69866666666667;11.4822184532792;13.0660905744919;11.468178111674;7.32682535437283
mock;Stemphylium vesicarium;7.99866666666667;9.75147233610662;10.2042993545634;8.74249735987274;10.5282161005616
mock;Fusarium oxysporum;4.004;1.05233637371296;1.21352749773297;1.09615410322563;1.01497726664884
mock;NA;0;8.55357166704504;4.60607030458207;17.2483858462443;21.9376838726932
mock2;Botrytis cinerea;16.0386666666667;19.735382559305;7.81375006667022;6.86122197519621;0.0040270618556701
mock2;Botrytis porri;9.82266666666667;4.10290678249248;9.00581364339431;7.61792516004607;41.9727233676976
mock2;Botrytis squamosa;9.82933333333333;12.7043100567992;6.85236545949117;5.97728551147778;0
mock2;Sclerotinia sclerotiorum;6.36;1.6625459405279;3.63486052589471;3.23172528326146;0
mock2;Alternaria alternata;9.65333333333333;8.60407617774808;10.3058829804256;8.67864891650818;9.27835051546392
mock2;Alternaria brassicicola;9.596;5.68660207150017;6.66835564563443;5.61701443762891;3.1921176975945
mock2;Peronospora variabilis;3.27866666666667;0.783160708319412;0.914715451490746;0.716524254680845;0.179875429553265
mock2;Peronospora destructor;6.45466666666667;3.15536251252923;3.69486372606539;3.21163581817695;0.00134235395189003
mock2;Hyaloperonospora brassicae;3.14533333333333;1.26161042432342;1.66408875140007;1.38751238850347;1.29671391752577
mock2;Epicoccum nigrum;9.772;13.9445372535917;16.8208971145128;14.4416468004179;10.1387993986254
mock2;Stemphylium vesicarium;9.62266666666667;7.17674574006014;7.36439276761427;6.37237832480647;7.76014819587629
mock2;Fusarium oxysporum;6.42666666666667;16.1403274306716;18.0222945223745;15.3671014919776;16.3270511168385
mock2;NA;0;5.04243234213164;7.23771934503173;20.5193796373182;9.84885094501718
mock3;Botrytis cinerea;14.3133333333333;11.124625748503;3.77066666666667;3.50924225567336;0.00942012407649141
mock3;Botrytis porri;7.02533333333333;2.84698460222412;6.04133333333333;5.51988525930593;27.801477613748
mock3;Botrytis squamosa;7.084;9.09698460222412;4.63066666666667;4.10573301341769;0
mock3;Sclerotinia sclerotiorum;7.124;2.42996150556031;4.23333333333333;3.91405171373805;0
mock3;Alternaria alternata;7.192;6.60954875962361;7.60666666666667;7.09220808814659;7.68009258636235
mock3;Alternaria brassicicola;7.21066666666667;5.79956159110351;6.596;6.17535487849014;2.58111399695865
mock3;Peronospora variabilis;7.17066666666667;5.50550684345594;6.032;5.42739568113883;2.04282119258771
mock3;Peronospora destructor;14.452;8.8470380667237;9.48266666666667;8.76104178116162;0.00672866005463672
mock3;Hyaloperonospora brassicae;6.97466666666667;4.80645851154833;5.092;4.82956449472541;5.33179022729414
mock3;Epicoccum nigrum;7.19733333333333;11.2489307100086;13.2586666666667;12.224709462086;6.46220511647311
mock3;Stemphylium vesicarium;7.13733333333333;11.0537852865697;10.8253333333333;9.7315121375816;10.7375957151893
mock3;Fusarium oxysporum;7.11866666666667;15.6276732249786;16.852;15.3009932576438;15.4503492174568
mock3;NA;0;5.00294054747648;5.57866666666667;13.408307976891;21.8964055497988
